cycle,phase,avg_mA,peak_mA,dur_ms,energy_mJ
22,5,170.884,172.5,536.0,476.6535
22,6,257.481,538.0,353.0,470.9941
22,7,165.2,165.2,1.0,0.8408
23,1,132.6,132.6,2.0,0.7464
23,2,151.528,172.8,397.0,313.6508
23,3,154.0,161.1,9.0,7.6442
23,4,166.35,170.2,2.0,1.7133
23,5,170.874,172.8,536.0,476.7717
23,6,245.095,536.0,337.0,427.3992
23,7,165.2,165.2,1.0,0.8391
24,1,133.2,133.2,1.0,0.724
24,2,151.405,173.0,398.0,314.1402
24,3,153.02,160.8,9.0,7.5082
24,4,163.7,165.2,2.0,1.68
24,5,170.856,172.9,535.0,475.7926
24,6,211.485,515.9,375.0,410.8083
24,7,164.4,164.4,1.0,0.8365
25,1,135.2,135.2,1.0,0.729
25,2,151.431,173.6,398.0,313.4572
25,3,153.336,165.7,10.0,8.287
25,4,162.4,162.4,1.0,0.862
25,5,170.816,172.6,536.0,476.5288
25,6,243.457,546.0,356.0,448.2674
25,7,163.8,163.8,1.0,0.8334
26,1,133.5,133.5,1.0,0.7076
26,2,151.412,175.5,398.0,313.7408
26,3,152.15,153.2,9.0,7.4733
26,4,163.6,165.3,2.0,1.6834
26,5,170.856,172.6,536.0,476.9385
26,6,243.311,536.3,344.0,434.1526
26,7,166.2,166.2,1.0,0.855
27,1,134.1,134.1,1.0,0.7344
27,2,151.521,176.2,398.0,314.3055
27,3,154.473,164.8,10.0,8.3734
27,4,168.5,168.5,1.0,0.8828
27,5,170.839,172.8,536.0,476.7058
27,6,224.242,485.2,344.0,399.4817
27,7,162.7,162.7,1.0,0.8289
28,1,134.1,134.1,1.0,0.7225
28,2,151.521,174.9,398.0,314.302
28,3,154.48,163.8,10.0,7.5975
28,4,169.3,169.3,1.0,0.8888
28,5,170.904,173.4,536.0,477.1118
28,6,226.972,499.0,345.0,405.8272
28,7,164.6,164.6,1.0,0.8478
29,1,133.4,133.4,1.0,0.7145
29,2,151.605,174.7,397.0,313.7407
29,3,154.718,167.2,11.0,8.3811
29,4,163.1,163.1,1.0,0.859
29,5,170.898,173.0,536.0,477.0197
29,6,234.868,547.1,365.0,443.9754
29,7,165.0,165.0,1.0,0.8404
30,1,134.0,134.0,1.0,0.7185
30,2,151.512,175.4,398.0,313.7442
30,3,154.12,165.7,9.0,7.6284
30,4,164.5,164.5,2.0,1.71
30,5,170.866,173.2,536.0,476.956
30,6,236.263,534.8,355.0,433.928
30,7,164.9,164.9,1.0,0.8502
