cycle,phase,avg_mA,peak_mA,dur_ms,energy_mJ
25,5,156.648,158.500,109.0,89.4400
25,6,155.600,156.300,4.0,3.0712
26,1,155.719,164.700,48.0,39.5378
26,2,157.165,159.800,116.0,94.2778
26,3,146.350,146.400,2.0,1.4927
26,4,233.421,244.400,5084.0,6147.2524
26,5,156.726,159.200,110.0,89.3977
26,6,156.025,156.300,4.0,3.0777
27,1,155.321,164.700,49.0,39.4990
27,2,157.194,162.700,118.0,96.5635
27,3,146.367,146.500,3.0,2.1962
27,4,233.437,244.300,5084.0,6146.7563
27,5,156.705,158.900,109.0,89.3964
27,6,155.750,155.900,4.0,3.0767
28,1,155.402,164.500,49.0,39.4755
28,2,157.153,164.500,117.0,95.8886
28,3,146.100,146.100,2.0,1.4752
28,4,233.502,244.600,5084.0,6149.7095
28,5,156.743,161.800,110.0,89.3871
28,6,156.150,156.200,4.0,3.1390
29,1,155.521,165.100,49.0,39.4844
29,2,157.243,162.800,118.0,96.6299
29,3,146.950,147.100,2.0,1.4769
29,4,233.483,244.600,5084.0,6148.0391
29,5,156.869,161.400,109.0,89.5359
29,6,156.625,157.100,4.0,3.0930
